codmunic;Munic­pio.x;homic 2016;pop 2016;taxa
280120;Canind? de S’o Francisco;21;28832;72,83573807
291450;Irarÿ;21;29723;70,65235676
291550;Itaju­pe;21;21697;96,78757432
293220;Ubaitaba;21;20646;101,7146178
293270;Uru?uca;21;21778;96,42758747
312090;Curvelo;21;79401;26,44802962
313010;Igarap?;21;40468;51,89285361
313665;Juatuba;21;25490;82,38524912
315210;Ponte Nova;21;60188;34,89067588
320390;Nova Ven?cia;21;50647;41,46346279
320510;Viana;21;75652;27,7586845
353760;Peru­be;21;65907;31,86307979
411320;Lapa;21;47814;43,92019074
420830;Itapema;21;59147;35,50475933
421190;Palho?a;21;161395;13,0115555
510515;Ju­na;21;39734;52,85146222
520860;Goian?sia;21;66649;31,50834971
130140;Eirunep?;20;34461;58,03662111
150293;Dom Eliseu;20;57251;34,93388762
150503;Novo Progresso;20;25102;79,6749263
150635;Santa Bÿrbara do Parÿ;20;20077;99,61647657
